                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.3456,                 1.5045,                 2.2748,                0.59135,                0.54494,                0.56652,                0.42794,                 2.3861,                 3.5215,                 3.2707,             0.00036307,             0.00036307,             0.00036307
                     70,                  1.361,                 1.4391,                 2.2863,                0.59037,                0.50018,                0.53259,                0.40959,                 2.4447,                 3.8747,                 3.3533,             0.00035208,             0.00035208,             0.00035208
                     71,                 1.3416,                 1.3862,                 2.2852,                0.52255,                0.51512,                0.52966,                   0.41,                 2.4052,                 3.8831,                  3.311,             0.00034108,             0.00034108,             0.00034108
                     72,                 1.2913,                 1.3538,                 2.2338,                0.56952,                0.53687,                0.55779,                 0.4241,                  2.372,                 3.6003,                  3.301,             0.00033008,             0.00033008,             0.00033008
                     73,                 1.3111,                 1.4052,                  2.247,                0.54085,                0.54289,                0.51924,                0.40003,                 2.4802,                 3.7607,                 3.4282,             0.00031908,             0.00031908,             0.00031908
                     74,                  1.313,                 1.3648,                 2.2512,                0.63165,                0.54127,                0.55128,                0.42269,                 2.4199,                 3.8705,                 3.3399,             0.00030808,             0.00030808,             0.00030808
                     75,                 1.3228,                 1.3725,                 2.2534,                0.57305,                0.59285,                0.55531,                0.42049,                 2.4477,                 3.8331,                 3.4398,             0.00029708,             0.00029708,             0.00029708
                     76,                  1.268,                 1.3478,                 2.2206,                0.68116,                0.48258,                0.53002,                0.40387,                 2.4644,                 3.8582,                 3.4101,             0.00028608,             0.00028608,             0.00028608
                     77,                 1.2271,                 1.2786,                 2.2045,                0.59712,                0.47433,                  0.512,                 0.3958,                 2.4482,                 3.9421,                 3.3434,             0.00027508,             0.00027508,             0.00027508
                     78,                 1.2254,                 1.2504,                 2.1884,                0.61565,                0.49602,                0.51898,                0.39779,                 2.4455,                 3.9012,                 3.4057,             0.00026408,             0.00026408,             0.00026408
                     79,                 1.2255,                  1.275,                 2.1892,                0.70957,                0.49277,                0.53176,                0.40565,                 2.4597,                 3.8943,                 3.4039,             0.00025309,             0.00025309,             0.00025309
                     80,                 1.2109,                 1.2196,                 2.1652,                0.64438,                0.49263,                0.54148,                0.41684,                   2.47,                 3.9275,                  3.447,             0.00024209,             0.00024209,             0.00024209
                     81,                 1.1985,                 1.2292,                 2.1683,                0.69004,                0.47677,                  0.524,                0.41364,                 2.4839,                   3.87,                 3.3766,             0.00023109,             0.00023109,             0.00023109
                     82,                 1.1826,                 1.1644,                 2.1484,                0.49054,                0.53781,                0.54136,                  0.414,                 2.4593,                 3.9785,                 3.3756,             0.00022009,             0.00022009,             0.00022009
                     83,                 1.1772,                 1.1465,                 2.1607,                0.57298,                0.46971,                0.51227,                0.39618,                 2.4495,                 4.0215,                 3.4453,             0.00020909,             0.00020909,             0.00020909
                     84,                 1.1236,                 1.1254,                 2.1252,                0.50472,                0.57464,                0.53471,                0.41864,                 2.4558,                 3.9894,                 3.4811,             0.00019809,             0.00019809,             0.00019809
                     85,                 1.1661,                 1.1471,                 2.1521,                0.65817,                0.50457,                0.54104,                 0.4299,                 2.4115,                 3.8233,                 3.3745,             0.00018709,             0.00018709,             0.00018709
                     86,                 1.1112,                 1.1275,                  2.122,                   0.55,                0.53151,                0.51459,                0.40458,                 2.4942,                 4.0372,                 3.4646,             0.00017609,             0.00017609,             0.00017609
                     87,                 1.0908,                 1.1142,                 2.1095,                0.59559,                0.50038,                0.51664,                0.41066,                  2.419,                 3.8907,                 3.4199,             0.00016509,             0.00016509,             0.00016509
                     88,                 1.1239,                  1.113,                 2.1399,                0.64155,                0.48318,                0.51636,                0.41056,                 2.4013,                 3.9237,                 3.3959,              0.0001541,              0.0001541,              0.0001541
                     89,                 1.0582,                 1.0594,                 2.0955,                0.64895,                0.47195,                0.53523,                0.43056,                 2.3949,                 3.9466,                 3.3848,              0.0001431,              0.0001431,              0.0001431
                     90,                 1.0725,                 1.0801,                 2.0988,                 0.5235,                0.55481,                0.53237,                0.41993,                 2.4504,                 3.9528,                  3.478,              0.0001321,              0.0001321,              0.0001321
                     91,                0.86548,                 0.7559,                 1.9287,                0.56475,                0.51739,                0.53357,                 0.4215,                 2.4766,                 4.0821,                 3.5758,              0.0001211,              0.0001211,              0.0001211
                     92,                0.84578,                0.70772,                 1.9169,                0.56063,                0.58197,                0.55866,                0.43348,                  2.452,                 3.9451,                 3.4613,              0.0001101,              0.0001101,              0.0001101
                     93,                 0.8247,                0.68066,                 1.9223,                0.58058,                0.54844,                0.55126,                0.42979,                  2.406,                 3.9527,                 3.4144,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.79661,                0.63368,                 1.8909,                0.61733,                0.49742,                 0.5254,                0.41707,                 2.3818,                 3.9699,                 3.3505,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.78796,                0.61451,                 1.8663,                0.67199,                0.43305,                 0.5337,                0.42602,                 2.3876,                 4.0091,                  3.392,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.74583,                0.59649,                 1.8493,                0.54106,                0.51229,                0.53254,                0.42789,                  2.372,                 3.9622,                 3.4156,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.77435,                0.60972,                 1.8635,                0.52278,                0.56034,                0.53835,                0.43261,                 2.3805,                 3.9393,                 3.4303,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.77138,                0.60022,                 1.8791,                0.53326,                0.53747,                0.53644,                 0.4306,                 2.3981,                 4.0746,                 3.4413,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                 0.7314,                0.55848,                 1.8529,                0.56678,                0.52414,                0.54459,                0.43479,                 2.3832,                 4.0349,                 3.4116,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.73185,                0.56743,                  1.837,                 0.5527,                0.51601,                0.53664,                 0.4308,                 2.3652,                 4.0744,                  3.423,             2.2109e-05,             2.2109e-05,             2.2109e-05
