                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.2072,                 1.1246,                 2.0731,                0.66756,                 0.5295,                 0.5636,                0.40472,                 2.5312,                 3.6095,                 3.2581,             0.00020909,             0.00020909,             0.00020909
                     84,                 1.2185,                 1.1031,                 2.0747,                0.72307,                0.49683,                0.58172,                0.43142,                 2.5886,                 3.5681,                 3.3487,             0.00019809,             0.00019809,             0.00019809
                     85,                 1.1709,                 1.0783,                 2.0466,                0.64024,                0.54495,                0.57698,                0.42082,                 2.5507,                 3.7273,                  3.304,             0.00018709,             0.00018709,             0.00018709
                     86,                 1.1427,                 1.0346,                  2.034,                0.66798,                0.49787,                0.57439,                0.42347,                 2.5396,                 3.7633,                 3.2536,             0.00017609,             0.00017609,             0.00017609
                     87,                 1.1419,                 1.0462,                 2.0404,                0.69404,                0.50275,                0.56272,                0.41866,                 2.5137,                 3.8263,                  3.249,             0.00016509,             0.00016509,             0.00016509
                     88,                 1.1595,                 1.0978,                 2.0499,                0.67763,                0.53451,                0.56586,                0.42024,                 2.5365,                 3.7423,                 3.2128,              0.0001541,              0.0001541,              0.0001541
                     89,                 1.1848,                 1.0755,                 2.0553,                0.59481,                0.59124,                0.56062,                0.41662,                  2.512,                 3.7544,                 3.2471,              0.0001431,              0.0001431,              0.0001431
                     90,                 1.1457,                 1.0278,                   2.03,                  0.609,                0.56829,                0.55894,                0.42696,                 2.4853,                 3.6919,                  3.203,              0.0001321,              0.0001321,              0.0001321
                     91,                0.98526,                0.81671,                 1.9034,                0.63968,                0.57546,                0.55934,                0.40934,                 2.5135,                 3.7818,                 3.2393,              0.0001211,              0.0001211,              0.0001211
                     92,                0.97133,                0.78869,                 1.9119,                0.66612,                0.54628,                 0.5677,                0.41774,                 2.4168,                 3.7027,                 3.1601,              0.0001101,              0.0001101,              0.0001101
                     93,                0.93041,                0.73919,                 1.8885,                0.65653,                0.55954,                0.54204,                0.41119,                 2.4517,                 3.7683,                 3.1783,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.92144,                0.71239,                 1.8807,                0.63067,                0.56089,                0.54771,                0.41165,                 2.4403,                 3.7525,                 3.1796,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.90468,                0.70341,                 1.8711,                0.64473,                0.56951,                0.56268,                0.42471,                 2.4699,                 3.8631,                  3.174,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.90224,                0.71777,                 1.8603,                0.63806,                0.58704,                0.56698,                0.41394,                 2.5159,                 3.7638,                 3.2678,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.87047,                 0.6798,                 1.8363,                0.63215,                0.56658,                0.55374,                0.41074,                 2.4979,                 3.7807,                 3.2174,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                 0.8503,                0.65749,                 1.8334,                0.63834,                0.55632,                0.56956,                0.42536,                 2.4376,                  3.786,                 3.1676,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.84818,                0.65955,                 1.8225,                0.63422,                0.55052,                0.56836,                0.42711,                 2.4628,                 3.8154,                 3.2016,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.85356,                0.66865,                 1.8434,                0.64871,                0.56717,                0.57034,                0.42579,                 2.4659,                 3.7862,                 3.1966,             2.2109e-05,             2.2109e-05,             2.2109e-05
